[2024-05-05T07:49:57.113+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_12.csv uploaded to pm25_cleaned/2024-05-03_12.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.167+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_16.csv uploaded to pm25_cleaned/2024-05-03_16.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.207+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_14.csv uploaded to pm25_cleaned/2024-05-02_14.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.256+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_12.csv uploaded to pm25_cleaned/2024-05-02_12.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.309+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_17.csv uploaded to pm25_cleaned/2024-05-03_17.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.365+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_16.csv uploaded to pm25_cleaned/2024-05-02_16.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.409+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_6.csv uploaded to pm25_cleaned/2024-05-02_6.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.470+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_11.csv uploaded to pm25_cleaned/2024-05-03_11.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.522+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_7.csv uploaded to pm25_cleaned/2024-05-03_7.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.574+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_8.csv uploaded to pm25_cleaned/2024-05-02_8.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.623+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_2.csv uploaded to pm25_cleaned/2024-05-03_2.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.674+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_6.csv uploaded to pm25_cleaned/2024-05-05_6.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.738+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_9.csv uploaded to pm25_cleaned/2024-05-03_9.csv in dw-projec-swu-ds525 bucket
