[2024-05-08T01:23:18.805+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_18.csv uploaded to pm25_raw/2024-05-03_18.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.862+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_16.csv uploaded to pm25_raw/2024-05-07_16.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.907+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_15.csv uploaded to pm25_raw/2024-05-07_15.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.958+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_10.csv uploaded to pm25_raw/2024-05-07_10.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.009+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_14.csv uploaded to pm25_raw/2024-05-05_14.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.069+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_11.csv uploaded to pm25_raw/2024-05-02_11.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.134+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_16.csv uploaded to pm25_raw/2024-05-04_16.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.190+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_4.csv uploaded to pm25_raw/2024-05-04_4.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.245+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_1.csv uploaded to pm25_raw/2024-05-02_1.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.300+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_0.csv uploaded to pm25_raw/2024-05-02_0.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.358+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_7.csv uploaded to pm25_raw/2024-05-04_7.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.419+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-01_23.csv uploaded to pm25_raw/2024-05-01_23.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.531+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_1.csv uploaded to pm25_raw/2024-05-04_1.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.596+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_0.csv uploaded to pm25_raw/2024-05-03_0.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.646+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-08_6.csv uploaded to pm25_raw/2024-05-08_6.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.713+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_9.csv uploaded to pm25_raw/2024-05-05_9.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.796+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_7.csv uploaded to pm25_raw/2024-05-05_7.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.847+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-08_1.csv uploaded to pm25_raw/2024-05-08_1.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.898+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-08_3.csv uploaded to pm25_raw/2024-05-08_3.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.951+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_8.csv uploaded to pm25_raw/2024-05-07_8.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.004+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_8.csv uploaded to pm25_raw/2024-05-05_8.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.067+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_12.csv uploaded to pm25_raw/2024-05-04_12.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.124+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_3.csv uploaded to pm25_raw/2024-05-03_3.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.177+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_20.csv uploaded to pm25_raw/2024-05-02_20.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.239+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_3.csv uploaded to pm25_raw/2024-05-05_3.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.299+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_2.csv uploaded to pm25_raw/2024-05-05_2.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.353+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_8.csv uploaded to pm25_raw/2024-05-03_8.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.416+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_13.csv uploaded to pm25_raw/2024-05-04_13.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.462+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_11.csv uploaded to pm25_raw/2024-05-07_11.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.517+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_11.csv uploaded to pm25_raw/2024-05-04_11.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.518+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-05-08T01:23:20.534+0000] {taskinstance.py:1205} INFO - Marking task as SUCCESS. dag_id=sample, task_id=upload_to_gcs, execution_date=20240505T110000, start_date=20240508T012312, end_date=20240508T012320
[2024-05-08T01:23:20.602+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-05-08T01:23:20.650+0000] {taskinstance.py:3482} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2024-05-08T01:23:20.681+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
